Art;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Criminal offences, total;699339;722966;739044;718779;732481;747463;772194;784657;753397;719924;705348;691394;702794;693499;692363;695118;712613;760792;765397;759989;763690;780530;791549;759661;732733;718702;719751;736297;775802;780659;751387;897631;874691;844520;813266;807815;773901;755938;748782;739487;737873
Offences excluding road traffic offences;388767;397220;407000;397866;403181;425849;459689;477093;465789;452291;445446;437611;445870;436832;433682;432662;451014;498764;501386;497935;511818;530311;554127;545444;522839;517118;522916;541019;579318;591357;575152;685785;669749;656122;638708;635614;607213;596274;592057;588448;583542
Road traffic offences;310572;325746;332044;320913;329300;321614;312505;307564;287608;267633;259902;253783;256924;256667;258681;262456;261599;262028;264011;262054;251872;250219;237422;214217;209894;201584;196835;195278;196484;189302;176235;211846;204942;188398;174558;172201;166688;159664;156725;151039;154331
Offences under Penal Code, total (excl. traffic);317788;325214;335226;324995;324775;343937;378070;396795;386744;376202;369466;362053;367569;356168;353017;349368;362624;395344;394874;393398;404459;420167;444816;436332;417279;413983;421202;437548;473267;488214;473515;568612;554329;547253;536393;531241;506308;496425;490747;487835;480647
Offences against the state, public order;15649;15879;16475;16201;16696;17828;19101;19635;19239;18598;18226;17902;17575;17304;16605;15679;15556;16914;18095;18618;19187;19932;21721;20880;19398;19991;20618;20251;21620;22305;22261;26250;26085;25882;24950;24096;23190;22982;21761;21715;23033
Offences against sexual self-determination;6731;6376;6114;5836;5748;5561;5622;5859;5794;5290;5092;4858;4942;4843;4779;4643;4869;5061;5342;5469;5571;6105;6619;6695;6625;6651;6770;7333;7900;7882;7485;8832;9119;8131;7616;6867;7038;6713;6812;6714;6416
Sexual abuse of children;2316;2112;1932;1856;1790;1714;1653;1578;1535;1420;1411;1341;1444;1520;1566;1687;1800;1913;2006;2009;2038;2207;2229;2279;2249;2144;2294;2401;2437;2331;2149;2484;2472;2242;2185;2137;2142;2062;2036;1920;1817
Rape;1186;1190;1162;1166;1177;1310;1303;1333;1316;1180;1156;1161;1110;1017;923;897;1014;1053;1124;1021;1010;1009;.;.;.;786;824;853;862;837;835;908;837;702;668;577;500;444;425;439;416
Other offences against the person (excl. traffic);54035;55402;55517;54254;56006;58699;61115;60384;58150;55213;54383;53832;55820;55245;54743;53265;53220;54921;57471;62206;64577;69236;75970;78887;80267;83414;88198;90680;98642;103299;105140;128389;129170;128451;122932;120745;117099;112740;106764;102763;104278
Non-payment of child support etc.;10491;10247;10029;9451;9057;8890;8789;7730;6133;4990;4537;4138;3944;4020;3952;4009;4156;4075;4224;4210;4212;4340;4172;.;3827;3978;4260;4509;4306;3942;3256;3244;2862;2651;2332;2111;1936;1783;1492;1440;1202
Murder and manslaughter;774;707;688;677;682;684;861;861;840;813;705;757;692;598;565;564;651;640;730;746;760;804;869;724;700;734;613;641;647;595;566;697;648;602;617;570;558;506;535;513;507
